date,site,parameter,value,units
2026-01-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0374,mg/L
2025-12-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0847,mg/L
2025-11-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0246,mg/L
2025-10-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0319,mg/L
2025-09-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0409,mg/L
2025-08-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.033,mg/L
2025-07-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0585,mg/L
2025-06-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0438,mg/L
2025-05-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0498,mg/L
2025-04-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0384,mg/L
2025-03-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.029,mg/L
2025-02-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0244,mg/L
2025-01-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0323,mg/L
2024-12-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0317,mg/L
2024-11-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.066,mg/L
2024-10-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0323,mg/L
2024-09-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0356,mg/L
2024-08-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0322,mg/L
2024-07-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0376,mg/L
2024-06-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0529,mg/L
2024-05-07,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0379,mg/L
2024-04-08,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0272,mg/L
2024-03-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0727,mg/L
2024-02-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0287,mg/L
2024-01-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0521,mg/L
2023-12-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0331,mg/L
2023-11-08,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0315,mg/L
2023-10-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.147,mg/L
2023-09-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0389,mg/L
2023-08-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0402,mg/L
2023-07-25,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0415,mg/L
2023-06-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0491,mg/L
2023-05-09,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0461,mg/L
2023-04-11,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0694,mg/L
2023-03-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.03,mg/L
2023-02-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0317,mg/L
2023-01-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0325,mg/L
2022-12-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0208,mg/L
2022-11-08,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0287,mg/L
2022-10-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0327,mg/L
2022-09-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0329,mg/L
2022-08-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0451,mg/L
2022-07-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0395,mg/L
2022-06-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0523,mg/L
2022-05-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0404,mg/L
2022-04-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0269,mg/L
2022-03-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0328,mg/L
2022-02-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0268,mg/L
2022-01-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.134,mg/L
2021-12-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0355,mg/L
2021-11-17,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0353,mg/L
2021-10-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0423,mg/L
2021-09-15,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.154,mg/L
2021-08-25,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0288,mg/L
2021-07-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0927,mg/L
2021-06-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0377,mg/L
2021-05-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0423,mg/L
2021-04-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0352,mg/L
2021-03-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0256,mg/L
2021-02-10,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0262,mg/L
2021-01-13,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.146,mg/L
2020-12-16,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.053900000000000003,mg/L
2020-11-12,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0298,mg/L
2020-10-14,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0498,mg/L
2020-09-30,Tahlequah Creek mouth at SW Pohl Rd,Total Phosphorus,0.0424,mg/L
