date,site,parameter,value,units
2026-01-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0745,mg/L
2025-12-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.079,mg/L
2025-11-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0996,mg/L
2025-10-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0666,mg/L
2025-09-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0908,mg/L
2025-08-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0916,mg/L
2025-07-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0953,mg/L
2025-07-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0953,mg/L
2025-06-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0988,mg/L
2025-05-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0758,mg/L
2025-04-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.054,mg/L
2025-03-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0628,mg/L
2025-02-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0356,mg/L
2025-01-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.075,mg/L
2024-12-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0322,mg/L
2024-11-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.115,mg/L
2024-10-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.071,mg/L
2024-09-18,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0666,mg/L
2024-08-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0745,mg/L
2024-07-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.103,mg/L
2024-06-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0931,mg/L
2024-05-08,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0567,mg/L
2024-04-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0532,mg/L
2024-03-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.056,mg/L
2024-02-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0548,mg/L
2024-01-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0555,mg/L
2024-01-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0527,mg/L
2023-12-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0535,mg/L
2023-11-07,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.131,mg/L
2023-10-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.115,mg/L
2023-09-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0868,mg/L
2023-08-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0989,mg/L
2023-07-26,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0815,mg/L
2023-06-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0755,mg/L
2023-05-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0717,mg/L
2023-04-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.05,mg/L
2023-03-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0452,mg/L
2023-02-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0461,mg/L
2023-01-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.052,mg/L
2022-12-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.049,mg/L
2022-11-09,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0612,mg/L
2022-10-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0785,mg/L
2022-09-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0834,mg/L
2022-08-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0942,mg/L
2022-07-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0719,mg/L
2022-07-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0735,mg/L
2022-06-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0976,mg/L
2022-05-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0666,mg/L
2022-04-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0574,mg/L
2022-03-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0519,mg/L
2022-02-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0912,mg/L
2022-01-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0533,mg/L
2021-12-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0725,mg/L
2021-11-08,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0827,mg/L
2021-10-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0735,mg/L
2021-09-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0691,mg/L
2021-08-25,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0595,mg/L
2021-07-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0991,mg/L
2021-06-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0794,mg/L
2021-05-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0876,mg/L
2021-04-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0542,mg/L
2021-03-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0616,mg/L
2021-02-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0688,mg/L
2021-01-13,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0772,mg/L
2020-12-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0533,mg/L
2020-12-16,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0486,mg/L
2020-11-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0653,mg/L
2020-10-14,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0724,mg/L
2020-09-28,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0949,mg/L
2020-08-12,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.104,mg/L
2020-07-15,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0897,mg/L
2020-06-10,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.0865,mg/L
2020-03-11,Thornton Creek mouth at Sand Point Way NE,Total Phosphorus,0.062,mg/L
